S.No,Date,Time,Voltage (V),LDR (%),Temp (∘C),Humidity (%)
1,2025-10-22,10:00:00,4.87,75,25.4,62
2,2025-10-22,10:05:00,4.9,72,25.5,61
3,2025-10-22,10:10:00,4.75,65,25.6,60
4,2025-10-22,10:15:00,4.6,50,25.8,60
5,2025-10-22,10:20:00,4.55,48,25.9,59
6,2025-10-22,10:25:00,4.92,78,26,58
7,2025-10-22,10:30:00,4.95,80,26.2,57
8,2025-10-22,10:35:00,4.98,85,26.3,57
9,2025-10-22,10:40:00,4.99,88,26.4,56
10,2025-10-22,10:45:00,4.88,87,26.5,55
11,2025-10-22,10:50:00,4.85,86,26.6,55
12,2025-10-22,10:55:00,4.7,80,26.8,54
13,2025-10-22,11:00:00,4.65,77,26.9,54
14,2025-10-22,11:05:00,4.5,60,27,53
15,2025-10-22,11:10:00,4.45,55,27.1,53
16,2025-10-22,11:15:00,4.9,70,27.2,52
17,2025-10-22,11:20:00,4.93,74,27.3,52
18,2025-10-22,11:25:00,4.96,78,27.4,51
19,2025-10-22,11:30:00,4.98,82,27.5,51
20,2025-10-22,11:35:00,4.99,85,27.6,50
21,2025-10-22,11:40:00,4.95,88,27.7,50
22,2025-10-22,11:45:00,4.9,90,27.8,49
23,2025-10-22,11:50:00,4.8,85,27.9,49
24,2025-10-22,11:55:00,4.7,80,28,48
25,2025-10-22,12:00:00,4.6,75,28.1,48
26,2025-10-22,12:05:00,4.5,70,28.2,47
27,2025-10-22,12:10:00,4.4,65,28.3,47
28,2025-10-22,12:15:00,4.3,60,28.4,46
29,2025-10-22,12:20:00,4.2,55,28.5,46
30,2025-10-22,12:25:00,4.1,50,28.6,45
